epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.0616,1.71561,5.01912,1.94213,0.40932,0.15172,0.12374,0.06982,1.28715,6.02288,1.89288,0.0001,0.0001,0.0001
2,135.687,1.81707,3.40031,1.92668,0.52931,0.15578,0.07683,0.03925,2.08844,7.3218,2.8202,0.000211448,0.000211448,0.000211448
3,202.585,1.8354,3.03439,1.93854,0.27157,0.16531,0.01398,0.00493,2.48817,28.7757,4.54628,0.000321783,0.000321783,0.000321783
4,291.845,1.76263,2.89343,1.90639,0.00092,0.07917,0.00051,0.00013,4.44641,inf,25.5586,0.000431003,0.000431003,0.000431003
5,356.795,1.93922,2.94769,2.07466,0,0,0,0,nan,nan,nan,0.00053911,0.00053911,0.00053911
6,425.133,1.97451,2.85041,2.07018,0.00015,0.0125,9e-05,5e-05,nan,nan,nan,0.000646103,0.000646103,0.000646103
7,482.7,1.96914,2.72746,2.06605,0.01889,0.0176,0.00794,0.00095,nan,nan,nan,0.000751982,0.000751982,0.000751982
8,551.461,1.90392,2.88934,2.09552,0,0,0,0,nan,nan,nan,0.000856748,0.000856748,0.000856748
9,617.354,2.09438,3.02323,2.2398,0,0,0,0,nan,nan,nan,0.0009604,0.0009604,0.0009604
10,681.967,2.00065,2.90789,2.17928,0,0,0,0,nan,nan,nan,0.00106294,0.00106294,0.00106294
11,745.402,2.00671,2.88663,2.12045,0,0,0,0,nan,nan,nan,0.00116436,0.00116436,0.00116436
12,810.045,1.99361,2.86893,2.15602,0.26033,0.06811,0.00683,0.00169,nan,nan,nan,0.00118194,0.00118194,0.00118194
13,878.797,2.03774,2.86994,2.15474,0.25764,0.12092,0.00288,0.00089,nan,nan,nan,0.00117575,0.00117575,0.00117575
14,943.329,2.01063,2.82332,2.1342,0.2601,0.12602,0.00594,0.00161,3.41477,164.643,5.15579,0.00116956,0.00116956,0.00116956
15,1013.19,2.02726,2.86792,2.1389,0.28714,0.05332,0.00499,0.003,nan,nan,nan,0.00116337,0.00116337,0.00116337
16,1076.09,1.94786,2.84128,2.08966,0.26275,0.07551,0.00493,0.00135,4.07193,69.1413,4.8859,0.00115719,0.00115719,0.00115719
17,1144.14,1.89343,2.67745,1.99311,0.00152,0.15102,0.00182,0.0004,3.98739,inf,7.13968,0.001151,0.001151,0.001151
18,1206.39,1.95658,2.69432,2.06938,0.2533,0.0176,0.00417,0.00107,4.18679,72.9112,8.7072,0.00114481,0.00114481,0.00114481
19,1260.09,1.95331,2.72762,2.03611,0.75,0.025,0.04245,0.01852,3.40752,42.9751,4.70197,0.00113863,0.00113863,0.00113863
20,1318.23,1.88129,2.61196,1.94521,0.31815,0.16165,0.06982,0.02413,3.47694,37.1056,7.90351,0.00113244,0.00113244,0.00113244
21,1383.01,1.9018,2.72927,2.03106,0.5036,0.13104,0.08565,0.039,3.82239,26.8428,5.01463,0.00112625,0.00112625,0.00112625
22,1449.14,1.82421,2.57243,1.95358,0.5249,0.11395,0.06472,0.02602,3.40048,15.9957,3.94911,0.00112006,0.00112006,0.00112006
23,1514.22,1.76363,2.59748,1.94765,0.40645,0.16207,0.07598,0.02412,2.88438,12.9013,3.38431,0.00111388,0.00111388,0.00111388
24,1569.67,1.85431,2.5204,1.96465,0.35746,0.18911,0.10085,0.0483,2.48584,9.27526,3.12582,0.00110769,0.00110769,0.00110769
25,1636.12,1.7673,2.45436,1.86515,0.43048,0.15799,0.08909,0.03602,2.86758,14.0967,3.56848,0.0011015,0.0011015,0.0011015
26,1697.37,1.84406,2.62748,2.01713,0.38975,0.07835,0.072,0.02132,2.66793,11.7425,3.44708,0.00109531,0.00109531,0.00109531
27,1747.82,1.74531,2.52032,1.96867,0.30467,0.13444,0.06157,0.02105,2.18676,12.1658,3.13659,0.00108913,0.00108913,0.00108913
28,1816.48,1.83689,2.51428,2.00377,0.46612,0.17236,0.14988,0.05539,1.93626,5.76667,2.74368,0.00108294,0.00108294,0.00108294
29,1879.93,1.75678,2.48573,1.93911,0.40751,0.15035,0.11743,0.05887,1.80475,5.23553,2.67046,0.00107675,0.00107675,0.00107675
30,1932.52,1.69162,2.432,1.87216,0.48357,0.13251,0.16255,0.07655,1.88845,5.62832,2.57808,0.00107056,0.00107056,0.00107056
31,1997.18,1.69398,2.43334,1.87357,0.36923,0.19966,0.15034,0.06466,1.81575,4.33422,2.52317,0.00106437,0.00106437,0.00106437
32,2057.91,1.65387,2.38881,1.85342,0.54687,0.19736,0.21737,0.09953,1.80121,4.08806,2.44055,0.00105819,0.00105819,0.00105819
33,2125.33,1.71316,2.48303,1.87403,0.47165,0.20799,0.20477,0.08167,1.76382,3.87634,2.46891,0.001052,0.001052,0.001052
34,2191.04,1.71,2.40141,1.87085,0.468,0.16488,0.12543,0.05404,2.09314,4.28784,3.29133,0.00104581,0.00104581,0.00104581
35,2252.24,1.65834,2.33159,1.87533,0.14774,0.37608,0.14746,0.04601,2.04923,4.88582,3.42713,0.00103962,0.00103962,0.00103962
36,2315.34,1.68782,2.36895,1.93047,0.16731,0.32717,0.21738,0.08294,1.82203,3.38428,2.48144,0.00103344,0.00103344,0.00103344
37,2385.19,1.71418,2.39388,1.86194,0.40896,0.23027,0.21968,0.08944,2.00116,3.57123,2.64834,0.00102725,0.00102725,0.00102725
38,2452.73,1.62606,2.41598,1.82193,0.44587,0.15725,0.16287,0.0743,1.90996,3.6016,2.62357,0.00102106,0.00102106,0.00102106
39,2518.27,1.64111,2.26871,1.82192,0.37056,0.22747,0.16836,0.06842,1.77348,3.06354,2.35909,0.00101488,0.00101488,0.00101488
40,2579.63,1.57633,2.27463,1.77524,0.69899,0.14592,0.21559,0.10592,1.64986,2.68185,2.14627,0.00100869,0.00100869,0.00100869
41,2650.36,1.62368,2.27835,1.79648,0.17447,0.37611,0.28681,0.15429,1.68434,3.04633,2.23478,0.0010025,0.0010025,0.0010025
42,2713.18,1.66174,2.2756,1.8823,0.20926,0.35293,0.16178,0.09206,1.89732,4.18873,2.49868,0.000996313,0.000996313,0.000996313
43,2781.88,1.6751,2.32154,1.83109,0.43244,0.22047,0.12536,0.05356,2.29741,4.45506,2.99585,0.000990125,0.000990125,0.000990125
44,2848.58,1.66964,2.31867,1.89314,0.5349,0.26201,0.23888,0.12698,1.72351,2.69225,2.3287,0.000983938,0.000983938,0.000983938
45,2907.45,1.55142,2.12908,1.75123,0.4469,0.32338,0.23331,0.12635,1.52007,3.15455,2.07864,0.00097775,0.00097775,0.00097775
46,2971.15,1.5438,2.11729,1.77001,0.50649,0.33206,0.3359,0.15822,1.7216,3.34819,2.30569,0.000971562,0.000971562,0.000971562
47,3037.66,1.56191,2.12302,1.77041,0.31694,0.35303,0.27778,0.12946,1.74648,3.38567,2.42708,0.000965375,0.000965375,0.000965375
48,3091.47,1.54937,2.12332,1.77042,0.60661,0.17129,0.23815,0.11816,1.60945,2.46778,2.1994,0.000959187,0.000959187,0.000959187
49,3157.78,1.56295,2.12993,1.75816,0.43672,0.23852,0.15553,0.07271,2.15294,2.91914,2.70793,0.000953,0.000953,0.000953
50,3222.43,1.5219,2.06116,1.72717,0.55704,0.22311,0.21443,0.10703,1.56195,2.39602,2.11124,0.000946812,0.000946812,0.000946812
51,3280,1.57655,2.11514,1.8084,0.53129,0.27381,0.21303,0.10288,1.54016,2.39827,2.06625,0.000940625,0.000940625,0.000940625
52,3341.72,1.51496,2.04951,1.69812,0.51789,0.2794,0.2777,0.15612,1.49206,2.8212,2.07944,0.000934438,0.000934438,0.000934438
53,3406.81,1.47141,2.03358,1.72091,0.54188,0.19039,0.22415,0.12766,1.54226,2.33489,2.20201,0.00092825,0.00092825,0.00092825
54,3464.74,1.49726,1.99933,1.71901,0.15705,0.40245,0.22318,0.12158,1.47996,2.19817,2.0728,0.000922063,0.000922063,0.000922063
55,3520.35,1.56284,2.1128,1.75544,0.68197,0.27356,0.26185,0.15193,1.37219,2.14894,1.91903,0.000915875,0.000915875,0.000915875
56,3585.33,1.48271,1.95502,1.65886,0.46646,0.2514,0.2639,0.14087,1.50059,2.11544,2.06268,0.000909688,0.000909688,0.000909688
57,3649.15,1.50776,1.98338,1.70397,0.26242,0.28567,0.25359,0.1443,1.52176,2.17799,2.05848,0.0009035,0.0009035,0.0009035
58,3714,1.5099,1.98285,1.71241,0.23987,0.29611,0.26749,0.15194,1.55449,2.32747,2.12225,0.000897313,0.000897313,0.000897313
59,3777.07,1.44051,1.96931,1.66923,0.28681,0.37336,0.27581,0.13959,1.74837,2.32684,2.28532,0.000891125,0.000891125,0.000891125
60,3838.9,1.5184,1.89235,1.69723,0.54212,0.2209,0.21727,0.1143,1.84264,2.65683,2.58705,0.000884938,0.000884938,0.000884938
61,3914.44,1.45899,1.86883,1.66424,0.42612,0.30828,0.35523,0.18963,1.47973,2.12419,2.0709,0.00087875,0.00087875,0.00087875
62,3982.36,1.46384,1.80495,1.65761,0.39069,0.31723,0.31995,0.18458,1.42613,2.11228,2.0127,0.000872563,0.000872563,0.000872563
63,4051.67,1.46601,1.78422,1.63555,0.35819,0.28202,0.31683,0.17638,1.5354,2.09157,2.13571,0.000866375,0.000866375,0.000866375
64,4115.29,1.44823,1.92812,1.69957,0.33596,0.36703,0.30938,0.19505,1.4218,2.00137,1.96519,0.000860188,0.000860188,0.000860188
65,4185.86,1.50706,1.92063,1.70629,0.39444,0.40113,0.41116,0.25076,1.50845,1.80304,2.10885,0.000854,0.000854,0.000854
66,4257.76,1.43056,1.82019,1.62089,0.2796,0.43682,0.36095,0.18576,1.47017,1.96806,2.10522,0.000847813,0.000847813,0.000847813
