epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0678,1.49823,3.41762,1.70774,0.00343,0.53495,0.08389,0.04063,1.41307,4.27233,2.01896,0.0001,0.0001,0.0001
2,78.4735,1.57549,3.38296,1.61755,0.00654,0.63452,0.12761,0.07779,1.27155,4.14353,1.85274,0.000210396,0.000210396,0.000210396
3,118.504,1.45378,3.1755,1.55521,0.00628,0.64932,0.1269,0.07702,1.17602,3.99495,1.74706,0.000318565,0.000318565,0.000318565
4,157.883,1.52179,2.99491,1.59279,0.00673,0.72015,0.18421,0.09867,1.19693,3.99648,1.90624,0.000424506,0.000424506,0.000424506
5,196.04,1.56179,2.90483,1.62531,0.00552,0.74099,0.10559,0.05583,1.89769,4.58547,2.53282,0.00052822,0.00052822,0.00052822
6,234.77,1.63492,2.80501,1.70734,0.00406,0.61964,0.07432,0.03769,1.87452,4.28068,2.76888,0.000629706,0.000629706,0.000629706
7,273.781,1.68352,2.74942,1.76322,0.81997,0.0375,0.0814,0.03354,1.90592,4.37523,2.70761,0.000728965,0.000728965,0.000728965
8,313.898,1.57705,2.67549,1.71559,0.61817,0.06582,0.08433,0.04221,1.78753,4.19564,2.90472,0.000825996,0.000825996,0.000825996
9,352.887,1.59588,2.59017,1.70996,0.62346,0.05561,0.09902,0.04487,1.82059,4.36899,3.4125,0.0009208,0.0009208,0.0009208
10,393.469,1.55878,2.53083,1.67441,0.40109,0.1506,0.14108,0.05508,1.68822,4.58863,2.97381,0.00101338,0.00101338,0.00101338
11,434.208,1.6576,2.49843,1.72982,0.59199,0.07832,0.11665,0.05088,1.76201,4.55168,3.44391,0.00110373,0.00110373,0.00110373
12,474.912,1.63629,2.53001,1.74475,0.31582,0.16314,0.13706,0.05048,1.84146,4.48113,2.97484,0.00111388,0.00111388,0.00111388
13,515.034,1.65592,2.50627,1.77791,0.12845,0.1858,0.11213,0.06017,2.07505,4.4494,3.27892,0.0011015,0.0011015,0.0011015
14,554.808,1.59234,2.47834,1.78202,0.22257,0.25618,0.19034,0.08934,2.00511,4.21128,3.01851,0.00108913,0.00108913,0.00108913
15,594.699,1.55166,2.41385,1.66442,0.28245,0.27282,0.20022,0.09597,1.63861,4.31831,2.35805,0.00107675,0.00107675,0.00107675
16,634.345,1.53715,2.32082,1.65922,0.27235,0.28441,0.18056,0.08664,1.66075,3.2812,2.33038,0.00106437,0.00106437,0.00106437
17,673.352,1.58252,2.44616,1.7019,0.40097,0.23441,0.21115,0.08614,1.98948,4.2231,2.69241,0.001052,0.001052,0.001052
18,712.131,1.53481,2.28857,1.69039,0.5221,0.21723,0.22298,0.10572,1.5715,4.30898,2.22969,0.00103962,0.00103962,0.00103962
19,750.896,1.54874,2.32562,1.64543,0.26983,0.34232,0.18016,0.08091,1.50792,3.65592,2.22096,0.00102725,0.00102725,0.00102725
20,791.043,1.48316,2.26167,1.683,0.4492,0.22107,0.18694,0.06774,1.77442,4.68632,2.74383,0.00101488,0.00101488,0.00101488
21,829.756,1.55983,2.2778,1.71963,0.14302,0.22883,0.13456,0.06266,1.77307,4.88693,2.30521,0.0010025,0.0010025,0.0010025
22,869.66,1.53153,2.19745,1.66084,0.39514,0.2861,0.12753,0.06384,1.94785,7.46879,2.40073,0.000990125,0.000990125,0.000990125
23,908.683,1.49898,2.15441,1.60907,0.48288,0.33764,0.27481,0.14855,1.61229,4.38223,2.21753,0.00097775,0.00097775,0.00097775
24,946.649,1.50634,2.21722,1.68379,0.35743,0.35151,0.29332,0.14539,1.34791,3.59154,2.0327,0.000965375,0.000965375,0.000965375
